stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,hours_unreachable,_loaded_at_utc
NYC FLEET / DPR_OVERLOOK_1,80-30 Park Ln,Kew Gardens,New York,11415,40.710747,-73.8358,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:27:13Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_ASHOKANBNL2,2471 B W S Rd,Olivebridge,New York,12461,41.946423,-74.202065,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:26:08Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_ASHOKANBNL1,2471 B W S Rd,Olivebridge,New York,12461,41.94639,-74.202095,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Available,2,0,1,1,2025-11-19T10:26:19Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_ARKVILLE-1,Co Rd 38,Arkville,New York,12406,42.158012,-74.61989,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:27:51Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DHS_BKLMNR_1_L3,300 Skillman Ave,Brooklyn,New York,11211,40.7167635,-73.938413,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2025-11-19T10:28:45Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPROMSTDFOR#8#9,12 Olmsted Dr,Corona,New York,11368,40.75164690397372,-73.84783852123547,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:25:54Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRSISHOPS#1#2,21 Slosson Ave,staten island,New York,10314,40.6203137,-74.11848359999999,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Available,2,0,1,1,2025-11-19T10:23:55Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRBXFORST#3A-B,1 Bronx River Pkwy,Bronx,New York,10462,40.84728868064645,-73.86959367962339,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:21:44Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRQNSSTHSE#3#4,43 Flushing Meadows Corona Park Rd CORONA PARK,QUEENS,New York,11368,40.752987496895024,-73.8375629423291,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:24:19Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRBXFORST#2A-B,1 Bronx River Pkwy,Bronx,New York,10462,40.847296280156996,-73.86944303358649,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:23:05Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRSID1HDQT#1#2,1150 Clove Rd,Staten Island,New York,10301,40.618496815350994,-74.1073751021301,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:24:47Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRLITCHFLD2A-B,95 Prospect Park West,Brooklyn,New York,11215,40.66637668149932,-73.97387502513124,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:28:58Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRBUSHWINL#3#4,2-42 N 10th St,Williamsburg,New York,11249,40.72216192086305,-73.96048327731552,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:21:50Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRLITCHFLD3A-B,95 Prospect Park West,Brooklyn,New York,11215,40.666943555176495,-73.97391921352653,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:20:59Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_BX12-2,1635 E 233rd St,East Bronx,New York,10466,40.888596,-73.8274,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Charging,2,1,1,0,2025-11-19T10:21:30Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MN02_DCFC1,353 Spring St,New York,New York,10013,40.726295,-74.01048,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2025-11-19T10:25:47Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MN02_DCFC2,353 Spring St,New York,New York,10013,40.726326,-74.010544,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:27:38Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MN05_DCFC1,353 Spring St,New York,New York,10013,40.726376,-74.01059,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:22:51Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_JEROME_1_L3,3201 Jerome Ave,West Bronx,New York,10468,40.87829,-73.887024,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:23:17Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_BX12-3,1635 E 233rd St,East Bronx,New York,10466,40.88857,-73.82722,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:29:45Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DCAS_1CENTRE-S1,1 Centre St,New York,New York,10007,40.712931,-74.00374799999997,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:20:24Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_BX12-4,1635 E 233rd St,East Bronx,New York,10466,40.888496,-73.82737,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:21:46Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_PRDGT_1_L3,1875 Ralph Ave,Bergen Beach,New York,11234,40.629932,-73.91689,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:23:36Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_ALLIED4,15 East Rd,Corona,New York,11368,40.753674,-73.83836,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,INUSE,NONE,Available,2,0,1,1,2025-11-19T10:24:26Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_ALLIED3,15 East Rd,Corona,New York,11368,40.75362,-73.8383,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,1,1,2025-11-19T10:26:19Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_ARCHERGN-1,92-33 168th St,Queens,New York,11433,40.705594574934054,-73.79178776963472,Level 2,Level 2,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:31Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_ARCHERGN-2,92-33 168th St,Queens,New York,11433,40.70559,-73.79177,Level 2,Level 2,CT4010-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,Available,1,0,0,1,2024-12-13T11:19:44Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRQNSSTHSE#1#2,43 Flushing Meadows Corona Park Rd,Queens,New York,11368,40.75299289267436,-73.83761065563056,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:20:13Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_LRP#1#2,42-12 Queens Plaza S,Long Island City,New York,11101,40.7529899,-73.947339,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,1,1,2025-11-19T10:22:43Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPROMSTDFOR#6#7,12 Olmsted Dr,Corona,New York,11368,40.75161185373593,-73.84781236969764,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Occupied,2,0,2,0,2025-11-19T10:27:20Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRSLNURSER1A-B,858-918 Victory Blvd,Staten Island,New York,10301,40.62321744676665,-74.09610315974044,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,1,1,2025-11-19T10:22:39Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRBUSHWINL#1#2,110 Kent Ave,Brooklyn,New York,11249,40.72090539125036,-73.96130623544315,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:27:37Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRBXFORST#4A-B,1 Bronx River Pkwy,Bronx,New York,10462,40.847325202128175,-73.86970633240202,Level 2,Level 2,CT4020-HD-GW,Reachable,INUSE,NONE,Available,2,0,1,1,2025-11-19T10:26:46Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPR_ALOERTER4#5,131-40 Fowler Ave,Flushing,New York,11355,40.750897177126284,-73.83470767070844,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,INUSE,NONE,Available,2,0,1,1,2025-11-19T10:25:02Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD44PCT-1,1264 River Ave,Concourse,New York,10452,40.83727529999999,-73.9197851,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,1,1,2025-11-19T10:27:37Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_Q02-1,58-1 52nd Rd,Woodside,New York,11377,40.734806,-73.90914,Level 2,Level 2,CPF50-L23,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:25:39Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DPRQBLIC#1&2,23-10 Queens Plaza S,Long Island City,New York,11101,40.7508089,-73.942049,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:25:26Z,0.0,2025-11-19T10:31:52.196106+00:00
