stationName,Address,City,State,Charger type,stationModel,unreachable_event_count,status,last_unreachable_start_iso,current_first_unreachable_iso,last_seen_reachable_iso
NYC FLEET / DPR_OVERLOOK_1,80-30 Park Ln,Kew Gardens,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:26:50+00:00
NYC FLEET / DEP_ASHOKANBNL2,2471 B W S Rd,Olivebridge,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:27:36+00:00
NYC FLEET / DEP_ASHOKANBNL1,2471 B W S Rd,Olivebridge,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:33:27+00:00
NYC FLEET / DEP_ARKVILLE-1,Co Rd 38,Arkville,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:31+00:00
NYC FLEET / DHS_BKLMNR_1_L3,300 Skillman Ave,Brooklyn,New York,Level 3,CPE250C-500-CCS1-CHD,0,REACHABLE,,,2026-02-12T20:35:37+00:00
NYC FLEET / DPROMSTDFOR#8#9,12 Olmsted Dr,Corona,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:34:53+00:00
NYC FLEET / DPRSISHOPS#1#2,21 Slosson Ave,staten island,New York,Level 2,CT4020-HD-GW,2,UNREACHABLE,2026-02-11T14:36:14+00:00,2026-02-11T14:36:14+00:00,2026-02-11T10:36:14+00:00
NYC FLEET / DPRBXFORST#3A-B,1 Bronx River Pkwy,Bronx,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:27:26+00:00
NYC FLEET / DPRQNSSTHSE#3#4,43 Flushing Meadows Corona Park Rd CORONA PARK,QUEENS,New York,Level 2,CT4020-HD-GW,2,UNREACHABLE,2026-02-12T10:39:22+00:00,2026-02-12T10:39:22+00:00,2026-02-11T20:19:35+00:00
NYC FLEET / DPRBXFORST#2A-B,1 Bronx River Pkwy,Bronx,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:33:05+00:00
NYC FLEET / DPRSID1HDQT#1#2,1150 Clove Rd,Staten Island,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:26+00:00
